SKU,Product Name,Category,Brand,Price (USD),Stock
GRO-30685,Milk Powder,Grocery,Brand C,16.73,128
HOU-53340,Air Freshener,Household,Brand D,13.52,460
GRO-24767,Rice,Grocery,Brand B,19.87,81
GRO-83921,Sugar,Grocery,Brand B,7.37,292
HOU-91821,Air Freshener,Household,Brand C,13.54,293
HOU-35449,Sponges,Household,Brand A,21.05,143
GRO-54305,Sugar,Grocery,Brand A,40.03,220
HOU-64965,Mop,Household,Brand D,23.43,222
GRO-41344,Milk Powder,Grocery,Brand C,18.03,145
HOU-36758,Dish Soap,Household,Brand C,41.36,265
GRO-16718,Olive Oil,Grocery,Brand B,3.4,485
GRO-84548,Pasta,Grocery,Brand A,29.84,414
HOU-30329,Sponges,Household,Brand B,28.45,344
GRO-97093,Wheat Flour,Grocery,Brand D,49.36,166
GRO-49701,Salt,Grocery,Brand D,45.27,457
GRO-39004,Olive Oil,Grocery,Brand A,16.0,372
HOU-21872,Detergent,Household,Brand B,22.81,158
HOU-39068,Air Freshener,Household,Brand B,32.71,464
GRO-40902,Salt,Grocery,Brand C,35.75,203
HOU-23493,Garbage Bags,Household,Brand A,44.21,222
HOU-47704,Detergent,Household,Brand B,48.58,258
HOU-39949,Sponges,Household,Brand D,6.16,161
GRO-17707,Milk Powder,Grocery,Brand C,37.68,392
GRO-53295,Milk Powder,Grocery,Brand D,4.35,99
HOU-88854,Garbage Bags,Household,Brand A,6.11,105
HOU-68755,Laundry Softener,Household,Brand C,47.38,85
GRO-68151,Rice,Grocery,Brand B,26.28,288
HOU-24580,Garbage Bags,Household,Brand D,1.36,266
GRO-36174,Milk Powder,Grocery,Brand A,4.88,222
GRO-16177,Rice,Grocery,Brand C,14.77,140
GRO-18371,Olive Oil,Grocery,Brand D,41.14,494
HOU-25660,Mop,Household,Brand A,4.63,83
HOU-13874,Mop,Household,Brand A,17.31,107
HOU-91063,Mop,Household,Brand D,14.46,58
HOU-56858,Air Freshener,Household,Brand B,8.84,276
GRO-62354,Pasta,Grocery,Brand B,10.82,475
HOU-40710,Mop,Household,Brand B,37.43,80
HOU-66837,Detergent,Household,Brand A,46.06,245
GRO-42528,Sugar,Grocery,Brand C,5.05,90
HOU-68737,Toilet Paper,Household,Brand C,9.52,488
HOU-65369,Toilet Paper,Household,Brand A,26.74,291
GRO-91794,Wheat Flour,Grocery,Brand A,38.12,490
GRO-53463,Milk Powder,Grocery,Brand C,26.75,341
HOU-73717,Laundry Softener,Household,Brand C,33.17,294
HOU-94129,Garbage Bags,Household,Brand D,35.54,217
GRO-83283,Coffee,Grocery,Brand B,19.08,389
HOU-88834,Mop,Household,Brand C,42.87,90
HOU-27170,Air Freshener,Household,Brand D,17.18,352
HOU-88123,Dish Soap,Household,Brand B,5.68,84
HOU-99879,Sponges,Household,Brand D,33.02,96
GRO-81635,Wheat Flour,Grocery,Brand C,30.07,259
GRO-82940,Milk Powder,Grocery,Brand A,36.25,183
HOU-53237,Toilet Paper,Household,Brand B,1.25,313
HOU-33217,Broom,Household,Brand D,21.43,266
HOU-14206,Garbage Bags,Household,Brand C,32.98,112
HOU-33651,Sponges,Household,Brand C,40.88,109
GRO-52997,Tea,Grocery,Brand A,11.73,451
HOU-11595,Dish Soap,Household,Brand C,30.35,213
GRO-48644,Coffee,Grocery,Brand B,12.73,203
HOU-79129,Mop,Household,Brand D,6.26,212
GRO-17460,Coffee,Grocery,Brand D,35.96,440
GRO-45522,Wheat Flour,Grocery,Brand A,21.35,78
GRO-70685,Rice,Grocery,Brand C,28.44,152
GRO-35233,Rice,Grocery,Brand D,14.15,248
HOU-62316,Garbage Bags,Household,Brand A,39.18,84
HOU-69006,Mop,Household,Brand A,14.55,149
GRO-52592,Tea,Grocery,Brand D,8.33,248
GRO-76090,Wheat Flour,Grocery,Brand B,9.77,420
HOU-73162,Broom,Household,Brand C,38.28,492
HOU-42369,Toilet Paper,Household,Brand B,8.29,366
HOU-91281,Dish Soap,Household,Brand A,23.66,479
GRO-57855,Milk Powder,Grocery,Brand B,14.96,91
HOU-70091,Detergent,Household,Brand C,36.84,257
HOU-91450,Mop,Household,Brand D,5.62,408
HOU-50118,Sponges,Household,Brand C,24.96,60
GRO-28977,Wheat Flour,Grocery,Brand B,34.72,500
GRO-50829,Olive Oil,Grocery,Brand C,21.92,347
GRO-59635,Salt,Grocery,Brand D,2.12,335
GRO-10161,Honey,Grocery,Brand C,1.64,176
HOU-51766,Toilet Paper,Household,Brand A,10.24,41
HOU-48002,Dish Soap,Household,Brand C,11.35,129
GRO-91524,Rice,Grocery,Brand B,36.26,418
GRO-72875,Pasta,Grocery,Brand D,7.03,444
HOU-50491,Detergent,Household,Brand D,39.28,464
GRO-23996,Salt,Grocery,Brand B,41.19,356
HOU-54636,Air Freshener,Household,Brand A,19.4,284
HOU-12320,Garbage Bags,Household,Brand C,15.51,17
HOU-84259,Detergent,Household,Brand A,12.72,134
HOU-20313,Paper Towels,Household,Brand C,37.72,277
GRO-40133,Olive Oil,Grocery,Brand C,15.07,489
GRO-29189,Salt,Grocery,Brand C,42.95,300
HOU-87800,Garbage Bags,Household,Brand B,27.53,161
HOU-39554,Paper Towels,Household,Brand C,16.34,182
GRO-99771,Milk Powder,Grocery,Brand B,17.64,81
GRO-57844,Rice,Grocery,Brand A,6.23,95
GRO-19815,Rice,Grocery,Brand B,26.72,35
GRO-20138,Milk Powder,Grocery,Brand A,9.47,351
HOU-40041,Dish Soap,Household,Brand C,37.07,494
GRO-85259,Sugar,Grocery,Brand A,11.17,203
GRO-73726,Milk Powder,Grocery,Brand D,27.42,458
GRO-14770,Wheat Flour,Grocery,Brand C,43.43,410
GRO-81973,Coffee,Grocery,Brand D,43.61,434
HOU-98734,Air Freshener,Household,Brand C,36.47,394
HOU-44548,Garbage Bags,Household,Brand B,33.09,228
GRO-89707,Honey,Grocery,Brand A,16.08,326
GRO-51114,Wheat Flour,Grocery,Brand A,21.01,215
GRO-54850,Pasta,Grocery,Brand A,16.84,96
GRO-62114,Honey,Grocery,Brand D,13.47,242
GRO-93446,Sugar,Grocery,Brand A,43.64,317
GRO-89172,Tea,Grocery,Brand A,13.74,321
HOU-11805,Paper Towels,Household,Brand D,17.64,429
GRO-32709,Coffee,Grocery,Brand A,32.91,299
GRO-25602,Honey,Grocery,Brand B,13.89,495
GRO-39659,Rice,Grocery,Brand C,16.17,466
HOU-94065,Paper Towels,Household,Brand B,36.37,237
GRO-58161,Pasta,Grocery,Brand C,35.39,18
